timestamp,gx,gy,gz,ax,ay,az,vx_gt,vy_gt,vz_gt
6.100000,-0.609323,-2.848840,-0.406379,-5.652259,-1.071043,-9.749299,-0.160304,0.129163,-0.164257
6.120000,0.693855,-2.335340,-0.464547,-7.437728,1.969481,-16.863236,-0.211731,0.080880,-0.174917
6.140000,0.026357,-2.351181,-0.173159,11.219110,-11.780480,3.168708,-0.289511,0.095601,-0.330940
6.160000,1.308523,-0.580470,0.730889,-6.219257,0.345854,-14.113167,0.014435,-0.163511,-0.089769
6.180000,2.559914,-0.286909,0.350719,1.505458,6.625540,-2.077663,-0.022690,-0.180113,-0.197886
6.200000,-0.155789,0.516665,1.072264,-1.338202,0.826110,0.042269,0.095821,-0.064527,-0.065103
6.220000,0.655400,0.857851,-0.001257,-2.808786,0.017101,-3.174134,0.157469,-0.057453,0.110638
6.240000,0.537193,1.240878,-0.197095,-4.674910,1.587243,-7.070195,0.186965,-0.069233,0.223246
6.260000,-0.017509,1.874132,-0.448122,-4.945711,3.626015,-11.553873,0.175468,-0.047171,0.259821
6.280000,-0.688492,2.172877,-0.628549,-3.631182,1.270560,-13.545952,0.153133,0.017806,0.209224
6.300000,-0.473166,1.667503,-0.723816,-1.859759,-0.014720,-11.703219,0.149250,0.034109,0.121843
6.320000,0.599115,1.048287,-1.399576,-4.109949,0.113784,-13.328326,0.173570,0.022404,0.073736
6.340000,0.406389,1.436155,-1.292616,-4.218813,-0.054227,-13.574646,0.148311,0.015462,-0.005301
6.360000,-0.178047,2.056532,-0.832065,-2.035251,-2.183385,-10.122106,0.116885,0.008949,-0.087952
6.380000,0.662836,2.531242,-0.609038,0.647556,-2.423339,-8.855464,0.122420,-0.038379,-0.099756
6.400000,0.927080,2.427232,-0.777296,2.880485,-0.689809,-6.219245,0.172562,-0.088776,-0.084232
6.420000,0.725134,2.279720,-0.754192,1.411075,0.135697,-10.718676,0.257903,-0.100857,-0.014394
6.440000,-0.812016,2.479865,-0.261402,-1.356550,-0.156106,-5.243751,0.304541,-0.092942,-0.033503
