timestamp,gx,gy,gz,ax,ay,az
9.385598,-0.005454,-0.125446,-0.484329,6.736591,4.634363,-7.977810
9.404212,0.069813,-1.178097,-0.411243,8.346044,4.969067,-5.963599
9.424021,0.450513,-2.190388,0.115628,8.305928,7.650291,-5.680986
9.444150,0.583594,-2.275473,0.920661,6.811436,7.122189,-7.080875
9.464188,1.767146,-4.033892,0.728675,3.914061,5.533094,-4.760700
9.484332,3.535383,-4.165883,0.329431,1.026865,4.596641,-7.691006
9.505645,5.437791,-3.796091,0.088357,2.362687,8.777148,-10.444680
9.524488,7.041313,-3.588833,-0.009817,2.139351,5.103787,-6.925798
9.544646,5.778131,2.328924,1.150826,-19.620000,-6.837781,-19.342178
9.567799,2.294017,-2.932153,2.308198,2.088457,1.140029,-19.620000
9.585114,3.347760,0.709040,2.042035,4.769083,-1.040037,0.674797
9.604985,1.939497,0.733038,2.071488,1.365161,-2.520159,-2.444716
9.625095,0.724312,0.320704,1.625338,-1.978286,-4.381089,-11.318264
9.645083,-0.133081,0.131991,1.307906,3.057242,-5.734874,-5.569618
9.665170,-0.945750,-0.525780,1.021018,0.028740,-5.809719,-7.657476
9.685302,-1.574069,-0.639227,0.731947,-0.383203,-4.633764,-5.886359
9.705338,-1.624247,-0.019635,0.453786,0.235311,-2.811753,-8.097561
9.725446,-1.531526,-0.497419,0.798488,-2.683619,-0.811313,-15.505955
9.745502,-1.002473,-0.801761,1.209731,1.071771,0.451461,-12.096046
9.768621,-0.279253,-0.008727,1.687515,0.416135,-0.481998,-9.221424
9.786229,-0.342521,-0.235619,1.875138,-0.931064,0.656235,-9.948911
9.806695,-0.499600,-0.112356,1.516255,-0.805924,-0.189805,-7.286248
9.826144,-0.803942,0.078540,0.196350,2.504592,-3.363206,-1.639391
9.846014,-1.963495,-0.133081,-0.502873,0.523911,-1.489702,-9.284293
9.866168,-1.640609,0.055632,-0.513781,2.636917,-0.393981,-11.338621
9.886265,-1.695151,0.817032,0.278162,3.211122,2.671644,-14.176121
9.906340,-1.617702,0.290161,0.899935,1.472937,1.614243,-9.721983
9.926384,-1.180279,0.141808,1.095194,0.147892,3.188969,-11.743380
9.946506,-0.503964,-0.629409,1.060288,1.410667,-2.049538,-9.171129
9.966606,-0.542143,-0.462512,0.498510,0.462838,-0.641266,-7.964039
9.986674,-1.245729,1.002473,-0.051269,0.082628,0.185015,-5.738467
10.006820,-1.688606,1.495529,-0.390517,1.160387,0.555046,-7.623347
10.026834,-2.117303,1.184642,-0.289070,2.668052,1.189726,-8.072413
10.048133,-2.091123,1.249001,0.271617,2.092648,5.815706,-13.248051
10.067039,-1.512982,0.511600,0.297797,0.963995,4.536167,-7.504195
10.087142,-1.725694,0.676315,0.376337,2.347119,3.188370,-6.588100
10.107271,-1.984221,1.691879,-0.051269,1.581312,4.772675,-9.170530
10.127343,-1.797689,1.519527,-0.391608,3.339256,5.017566,-7.208410
10.148153,-0.187623,0.019635,-0.438514,9.483679,6.821614,-13.997692
10.167638,-0.403607,0.208349,0.129809,5.562433,4.428990,-7.904163
10.187690,-1.124647,0.649044,-0.128718,3.875740,2.272874,-4.711003
10.207769,-1.184642,-0.561778,-0.461421,5.061275,5.563630,-8.343649
