timestamp,gx,gy,gz,ax,ay,az
1.005035,0.074176,-0.141808,-0.014181,0.570613,0.523911,-9.426797
1.024184,0.023998,-0.179987,0.069813,0.883163,0.249681,-9.674681
1.045926,0.019635,-0.175624,0.007636,0.414937,0.717308,-9.680669
1.064857,0.071995,-0.171260,-0.113446,0.533491,0.801733,-10.016570
1.086915,0.095993,-0.197440,-0.115628,1.344803,0.749042,-9.645941
1.105382,0.069813,-0.141808,-0.042542,1.387315,0.091609,-8.716075
1.126568,-0.029452,-0.191986,0.082903,0.861608,0.791554,-9.538764
1.144582,0.081812,-0.185441,0.154898,1.123863,1.230441,-9.018446
1.164656,0.023998,-0.119991,0.032725,0.209564,-0.340093,-9.709409
1.184729,-0.053451,-0.097084,-0.068722,0.687969,0.847837,-9.578881
1.204876,0.033816,-0.165806,0.051269,1.212479,1.283730,-9.638157
1.225179,0.143990,-0.220348,-0.286888,0.551453,-0.102387,-10.299183
1.246665,0.002182,-0.251982,-0.293433,1.773512,0.031734,-9.681268
1.265630,-0.245437,0.023998,0.142899,1.450184,1.930386,-9.518406
1.285332,0.131991,-0.226893,0.297797,0.125140,1.420845,-9.487870
1.305270,0.100356,-0.150535,0.071995,-0.476010,-0.144899,-10.015373
1.325347,0.003272,-0.095993,-0.094902,-0.019759,-0.442480,-8.869955
1.345670,0.015272,-0.175624,-0.085085,1.629811,0.911904,-10.487192
1.365635,0.026180,-0.263981,0.020726,1.289119,0.239502,-8.645422
1.385649,0.188714,-0.241074,-0.458149,0.867596,0.110171,-10.263257
1.405805,0.071995,-0.142899,-0.495237,1.181942,0.459844,-9.265133
1.425789,-0.028362,-0.190895,0.333794,2.294429,2.586022,-9.471105
1.445995,0.074176,-0.241074,0.582504,0.274230,1.472937,-8.522078
1.469369,-0.006545,-0.115628,0.161443,-0.285606,0.329914,-9.805210
1.486190,0.167988,-0.248709,-0.131991,0.415536,-1.448987,-9.996812
1.506267,-0.031634,-0.162534,-0.186532,1.625620,0.182021,-8.762179
1.526345,0.098175,-0.217075,-0.175624,0.859213,-0.431104,-9.992620
1.546339,0.183260,-0.311978,-0.671952,0.729283,0.774789,-10.211765
1.566537,-0.089448,0.052360,-0.321795,3.587141,2.545906,-9.073531
1.586525,-0.021817,-0.189805,0.428696,2.036365,2.544109,-9.983639
1.606641,-0.136354,-0.090539,0.611956,-0.437690,0.799338,-9.744137
1.626760,-0.041452,0.136354,0.229074,-1.777104,0.371827,-10.585388
1.646939,0.280344,-0.155989,-0.149444,-1.608854,-1.463357,-10.242900
1.667039,-0.001091,-0.129809,-0.419970,0.222737,-0.459245,-10.921289
1.687109,0.042542,-0.225802,-0.503964,0.586780,-0.761017,-9.219628
1.707186,-0.112356,-0.463603,-0.762491,1.729803,2.320774,-12.982203
1.727174,0.251982,-0.029452,-0.438514,3.520679,2.538122,-6.188132
1.747353,0.114537,-0.345793,0.569414,2.421964,2.324366,-10.550061
1.767493,-0.125446,-0.236710,0.658862,0.913700,2.342928,-7.741901
1.787560,0.183260,-0.059996,0.443968,-0.811313,0.591570,-10.131531
1.807616,0.284707,-0.127627,-0.313068,-0.646655,-2.730921,-10.639276
1.827691,0.160352,-0.273799,-0.571595,0.468226,-2.080074,-8.429271
1.847815,-0.115628,0.013090,-0.590139,0.171244,-0.575403,-9.871672
1.867943,-0.203985,-0.272708,-0.775581,1.645977,2.095043,-12.706776
1.888047,-0.201804,0.158170,-0.303251,3.730842,4.247567,-10.131531
1.908595,0.066541,-0.019635,0.452695,1.180146,3.168611,-9.924362
1.929952,0.013090,-0.268344,0.733038,0.524509,2.456691,-9.112451
1.948333,-0.078540,0.116719,0.459240,-0.863405,0.969384,-10.676398
1.968375,0.497419,-0.422152,0.021817,-1.841770,-1.913022,-12.405004
1.988456,0.086176,-0.234529,-0.494146,0.790356,-2.227368,-7.123986
2.008632,-0.143990,-0.042542,-0.546506,0.025746,-1.733994,-10.497371
2.028865,-0.275980,-0.088357,-0.763582,2.448309,1.896855,-12.117003
2.048809,-0.073086,-0.130900,-0.753764,3.112328,3.248844,-8.608898
2.068893,0.042542,0.160352,-0.008727,3.935616,4.620591,-8.920849
2.088896,-0.040361,-0.206167,0.641409,1.254391,2.417772,-9.181906
2.109079,-0.176715,-0.047997,0.673043,0.974773,2.241738,-7.918533
2.129130,0.523599,-0.262890,0.171260,-0.615520,-2.811154,-11.457175
2.149195,0.341430,-0.227984,-0.435241,-0.056283,-2.494413,-7.843689
2.169237,-0.173442,0.035997,-0.470148,0.146695,-1.572330,-9.851314
2.189461,-0.145080,-0.166897,-0.519235,3.259023,0.838856,-9.553134
2.209546,-0.267254,0.079631,-0.322886,3.075205,2.968028,-8.806487
2.229626,0.097084,0.085085,0.201804,3.112927,3.985911,-7.480844
2.249810,0.111265,-0.097084,0.523599,0.258063,3.510500,-11.093132
2.270189,-0.134172,0.097084,0.567232,0.299976,2.548301,-10.176438
2.289904,0.577049,-0.383972,0.495237,-0.454455,-0.317939,-12.745096
2.310006,0.150535,-0.356702,-0.299978,0.502954,-3.305127,-9.569301
2.330036,0.194168,-0.391608,-0.473421,-0.041314,-2.315385,-8.735834
2.350836,-0.508327,0.465785,-0.295615,1.965712,-0.618514,-7.346124
2.370205,-0.212712,0.125446,-0.594503,0.626298,4.330794,-13.506114
2.390231,0.099266,-0.081812,-0.284707,1.684896,3.652405,-7.957452
2.410432,0.109083,-0.153807,0.565050,3.154241,3.182382,-9.757908
2.430942,0.118901,-0.243255,0.766854,0.890349,2.488425,-8.280780
2.451900,0.129809,-0.112356,0.783217,0.578996,2.208807,-12.082275
2.470912,0.527962,-0.788671,0.042542,-0.092208,-3.277584,-10.200987
2.491556,0.165806,-0.163625,-0.457058,1.611249,-2.948868,-6.724017
2.510850,-0.677406,0.656680,-0.153807,-3.158432,-1.937571,-9.744736
2.530981,-0.397062,-0.213803,-0.249800,0.131726,-0.119751,-6.998247
2.551051,-0.131991,-0.041452,-0.863938,-0.302970,3.919449,-14.262341
2.571206,0.097084,-0.104720,-0.367610,2.656675,3.229085,-7.802375
2.592579,0.178896,-0.258527,0.534507,2.826123,4.263135,-10.969189
2.611403,-0.185441,-0.329431,0.682860,0.860411,3.113525,-9.041797
2.631469,0.310887,-0.556324,0.664316,0.440085,0.972977,-9.805809
2.651571,0.310887,-0.200713,-0.206167,-1.074765,-4.878655,-11.457773
2.671761,0.029452,-0.494146,-0.484329,1.196312,-2.068698,-6.397696
2.691780,-0.316341,0.367610,-0.224711,0.142504,-0.645458,-7.265292
2.711951,-0.119991,-0.111265,-0.906480,0.011975,1.288521,-12.646901
2.731926,0.095993,0.116719,-0.748310,3.184178,4.982239,-8.378377
2.752605,-0.021817,0.286888,0.236710,2.344125,3.606301,-9.386082
2.773243,0.023998,-0.329431,0.704677,1.297502,3.973337,-10.993738
2.794939,0.013090,-0.143990,0.837758,0.905317,2.713557,-10.859019
2.813411,0.339248,-0.693768,0.665407,0.315544,-0.772394,-8.698711
2.834082,0.166897,0.103629,-0.051269,-1.722019,-5.370831,-11.643986
2.855701,-0.111265,-0.150535,-0.434151,-2.118994,-2.119592,-11.163785
2.874121,-0.548688,0.082903,-0.214894,1.660347,-0.969384,-7.917935
2.892861,-0.781035,-0.014181,-0.382882,-1.837579,-0.404160,-8.294551
2.912971,-0.525780,-0.706858,-1.271909,3.744613,4.557123,-14.840140
2.932924,0.683951,-0.501782,-0.558505,4.082910,3.479963,-5.643265
2.953301,-0.681769,0.079631,-0.009817,0.422122,1.887275,-9.304651
2.974565,0.137445,-0.518145,0.681769,2.560276,3.932023,-10.035731
2.995244,-0.127627,-0.334885,0.885755,1.763932,2.201023,-9.334589
3.014456,0.666498,-0.541052,0.316341,-1.064586,-0.744252,-12.402609
3.033571,0.045815,0.248709,-0.543234,1.426234,-1.789080,-6.865922
3.053629,0.330522,-0.218166,-0.531235,-1.302891,-1.280737,-10.630893
3.073618,0.090539,-0.440696,-0.736311,0.520917,-1.231639,-7.757468
3.093656,-0.379609,0.171260,-0.719948,-0.497565,1.168770,-9.902807
3.115108,-0.563960,0.434151,-0.335976,0.892744,8.250244,-16.105908
3.135050,0.068722,-0.256345,0.881391,1.278342,2.851870,-5.558242
3.154059,-0.081812,-0.035997,1.073377,0.478405,4.782854,-11.507470
3.174113,0.217075,0.066541,1.066833,0.383203,2.193239,-9.314231
3.194173,0.506145,-0.875937,0.525780,0.239502,0.444875,-9.765692
3.214325,0.933751,-0.401426,-0.122173,0.423320,-1.793870,-11.279943
3.234249,0.807215,-1.227185,-0.699223,1.595682,-0.818498,-10.847043
3.254582,-0.040361,-0.037088,-0.039270,0.577200,-2.030977,-8.696915
3.274492,-0.126536,-0.030543,0.064359,-2.854863,-0.728685,-9.959689
