timestamp,gx,gy,gz,ax,ay,az,vx_gt,vy_gt,vz_gt
3.880000,1.440398,-0.389693,-0.369633,-6.358620,0.529549,-1.321676,0.008106,-0.023105,-0.093883
3.900000,-0.278392,0.836189,-0.838236,3.104655,-2.001373,-12.142654,-0.134215,0.009181,0.074091
3.920000,1.281225,-0.672185,-1.376042,5.843559,-7.055738,-8.919349,-0.088897,-0.008886,0.025482
3.940000,0.361360,-0.755201,-1.098998,4.821577,-5.958875,-11.591720,0.011368,-0.126630,0.041189
3.960000,0.048314,-0.799001,-0.949945,-0.289599,1.334768,-6.232114,0.093185,-0.219790,0.003272
3.980000,0.964310,-0.456828,-0.266937,5.526224,1.115383,-9.351628,0.075508,-0.167746,0.072822
4.000000,0.244128,-0.667994,0.103517,0.753414,-0.782425,-13.184237,0.179366,-0.116573,0.079740
4.020000,-0.142122,0.467039,-0.282016,2.639636,0.361686,-10.519496,0.189203,-0.101403,0.009749
4.040000,0.054426,1.246236,-0.653766,-10.608739,4.980599,-6.151969,0.237345,-0.062626,-0.007049
4.060000,-0.793865,0.944565,-0.503842,1.304996,-1.059722,-16.609556,0.016249,0.068139,0.063417
4.080000,-2.107748,-0.828261,0.543744,5.436458,-6.861538,-3.887587,0.027743,0.075846,-0.075265
4.100000,-0.228115,-0.875718,0.277649,1.500929,-3.081800,-10.872448,0.122127,-0.037828,0.041235
4.120000,0.354789,-1.072447,0.192892,-1.350744,-2.917964,-9.401247,0.141973,-0.081796,0.018924
4.140000,1.145576,-0.216607,0.240849,3.031928,2.236817,-8.738006,0.108965,-0.121644,0.026132
4.160000,0.358202,-0.365375,0.584814,0.737034,-0.063039,-13.413688,0.166875,-0.056134,0.046450
4.180000,0.066790,0.464795,0.311808,1.748371,0.563862,-10.812585,0.179854,-0.034655,-0.026954
4.200000,-0.717628,1.463371,0.144376,-8.025834,3.451863,-3.367650,0.213449,0.000736,-0.048498
4.220000,-1.843484,0.021399,-0.573375,0.947429,-2.937402,-10.790927,0.047238,0.091038,0.079110
4.240000,-0.373462,0.153630,-0.182215,3.703786,-3.927886,-11.169976,0.056613,0.049822,0.058472
4.260000,-0.462525,-0.501699,-0.075785,2.163318,-2.456030,-10.779784,0.119718,-0.012798,0.030316
4.280000,0.422677,-0.945160,-0.382505,-7.913158,2.814380,-12.119699,0.153492,-0.049506,0.010297
4.300000,1.684977,-0.261203,-0.578975,-7.161745,2.005306,-12.393482,-0.010211,0.020216,-0.036433
4.320000,2.254477,0.051322,-0.628675,-6.872095,0.479845,-12.364291,-0.156756,0.077904,-0.088920
4.340000,0.047946,-0.014410,-0.953931,7.804909,-0.590400,-0.801776,-0.297817,0.113983,-0.141835
4.360000,0.455856,-0.219582,-0.574195,4.335727,-5.676831,-10.205085,-0.146036,0.132607,0.035907
4.380000,0.744338,-0.716291,-0.977641,1.310046,-3.784582,-13.394688,-0.063166,0.043336,0.026461
4.400000,1.149827,-0.170692,-1.184319,-0.384857,1.221931,-9.224253,-0.039262,-0.004786,-0.047193
4.420000,-0.526374,-0.290325,-1.188087,4.765008,-3.101214,-7.825846,-0.047730,0.050746,-0.037959
4.440000,-0.608108,-0.008111,-1.277462,3.075807,-1.350545,-11.358829,0.048776,0.019820,-0.000760
4.460000,-1.319943,0.401309,-0.549499,3.657920,1.417968,-10.715646,0.111745,0.020148,-0.033656
4.480000,-1.380727,0.662494,-0.588453,0.240224,-1.253453,-10.799940,0.184449,0.071378,-0.053107
4.500000,0.246898,2.451936,-0.487182,-6.016508,3.873257,-1.855416,0.187234,0.064625,-0.073773
4.520000,-0.708834,0.239611,-1.319702,3.232373,-3.850468,-10.280135,0.057623,0.159187,0.084352
4.540000,-1.186104,0.283132,-1.155638,4.405968,-3.661221,-10.970594,0.110264,0.096089,0.074087
4.560000,-1.334094,0.320824,-1.026079,1.123370,-0.034404,-12.006546,0.184699,0.033128,0.050128
4.580000,-0.939919,-0.014783,-0.326299,-1.811479,-0.311810,-10.424192,0.192658,0.036721,0.005613
4.600000,0.847532,-0.504544,-0.669273,0.519328,-1.210795,-17.164774,0.140816,0.030340,-0.007293
4.620000,1.791481,-1.373027,-1.121723,0.142994,0.223562,-2.551951,0.134585,0.004002,-0.155105
4.640000,-1.023455,-1.196730,-0.004439,1.149222,0.465226,-8.801639,0.124944,0.010933,-0.010358
4.660000,0.969740,0.676695,-0.022271,-0.999448,1.613282,-5.068712,0.140785,0.021338,0.009676
4.680000,-0.836630,-0.163213,-0.880565,0.147159,-0.807394,-12.179438,0.113342,0.056807,0.104334
4.700000,-0.959474,-0.116486,-0.441947,1.547266,-0.707793,-10.672084,0.106392,0.045415,0.056638
4.720000,-0.155726,-0.553416,-0.452297,-0.056771,-0.631516,-13.221256,0.128060,0.032134,0.039175
